"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",0.000350820382751375,0.000255343797736865,0.000481996986199179,0,16893.6191043123
"Men","caseTRUE",4.74434470497519,4.17592021932334,5.39014289005583,2.31634943692651e-126,16893.6191043123
"Men","age_start",1.03330097174953,1.02928145566876,1.03733618471227,5.71223033539931e-61,16893.6191043123
"Men","diabTRUE",1.09289914784843,0.96605623016235,1.23639650578837,0.158148475677715,16893.6191043123
"Men","htTRUE",0.878332403699614,0.796114987198861,0.969040683561503,0.00967805571544381,16893.6191043123
"Men","smokTRUE",1.42892561682336,1.27781167995062,1.59791027930887,3.88268984491619e-10,16893.6191043123
"Women","(Intercept)",0.00175754610278541,0.00120988338242337,0.00255311243074441,3.98307759079162e-243,14155.2572402017
"Women","caseTRUE",4.37770667103432,3.81226097626142,5.02702092457803,3.19238464955153e-97,14155.2572402017
"Women","age_start",1.00973930042958,1.00528232366408,1.01421603745687,1.75356461176218e-05,14155.2572402017
"Women","diabTRUE",0.794807291428541,0.670615680977617,0.941998000385347,0.00806707260106642,14155.2572402017
"Women","htTRUE",0.893675954254959,0.797989137364487,1.00083657009572,0.0517158285577873,14155.2572402017
"Women","smokTRUE",1.51384486353955,1.35686589187054,1.68898509763979,1.13941870633972e-13,14155.2572402017
