"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",0.000447251493705234,0.000328235161749107,0.000609422517549973,0,16934.3376768929
"Men","caseTRUE",4.84373379711371,4.2738251477649,5.48963897354843,9.9900905836515e-135,16934.3376768929
"Men","age_start",1.03253714892824,1.028570464811,1.03651913057095,9.21817698990795e-60,16934.3376768929
"Women","(Intercept)",0.00256788302823784,0.00179548467589513,0.00367255891138394,3.80480363492121e-234,14211.1199486657
"Women","caseTRUE",4.38718403952736,3.82803135519454,5.02801100899172,2.81318013724117e-100,14211.1199486657
"Women","age_start",1.00665860532706,1.00234008278236,1.01099573396893,0.00248187509083551,14211.1199486657
