"gender","region_desc","term","RR","lower","upper","p","AIC"
"Men","Head and neck","(Intercept)",0.000104494661023701,1.91459273916475e-05,0.000570311061934864,3.44250712571188e-26,802.113095284473
"Men","Head and neck","caseTRUE",4.10987639647634,1.98377967743838,8.51459675004056,0.000142846676891652,802.113095284473
"Men","Head and neck","age_start",1.00512042357359,0.983838517767508,1.02686268898804,0.639963848104263,802.113095284473
"Men","Chest","(Intercept)",0.000188865334635453,0.000113793065265873,0.000313464748872172,2.91678663380278e-241,6303.71877510526
"Men","Chest","caseTRUE",8.29273353265737,6.28613621748976,10.9398567043973,1.22526386330392e-50,6303.71877510526
"Men","Chest","age_start",1.02188506614663,1.0155159357638,1.02829414255138,1.14817376512605e-11,6303.71877510526
"Men","Abdomen","(Intercept)",6.56513412866947e-05,3.346571166495e-05,0.000128791482335521,1.10398323507804e-172,4940.63117316803
"Men","Abdomen","caseTRUE",5.21397931781919,3.97451256567256,6.83997845709312,8.91041958534174e-33,4940.63117316803
"Men","Abdomen","age_start",1.03743269823427,1.02894871047426,1.04598663899347,1.76334314210226e-18,4940.63117316803
"Men","Pelvis","(Intercept)",5.0460542496247e-05,2.68362971169914e-05,9.48814338250631e-05,3.96758121713944e-207,5961.01485357905
"Men","Pelvis","caseTRUE",2.73170632724042,2.23028479577937,3.34585944916406,2.67330251890697e-22,5961.01485357905
"Men","Pelvis","age_start",1.05051104890329,1.04248628604182,1.05859758410636,2.25257852836787e-36,5961.01485357905
"Men","Other","(Intercept)",6.66815731392015e-05,2.57806002498736e-05,0.000172472019783189,1.58576932769337e-87,2476.60486225251
"Men","Other","caseTRUE",5.8312508096347,3.81548805237424,8.91196238544272,3.71505003531591e-16,2476.60486225251
"Men","Other","age_start",1.02504437663754,1.01276477696585,1.03747286435463,5.75295241454247e-05,2476.60486225251
"Men","Unknown primary","(Intercept)",4.03750877574044e-06,7.70977416784044e-07,2.11439100021618e-05,6.25458610202485e-49,1446.79664576382
"Men","Unknown primary","caseTRUE",7.52167925729103,4.01064879520057,14.1063607756592,3.19378431166183e-10,1446.79664576382
"Men","Unknown primary","age_start",1.05156656955495,1.03074987546815,1.07280367092292,8.27289698732781e-07,1446.79664576382
"Women","Head and neck","(Intercept)",0.000383177824079877,8.8912022658235e-05,0.0016513542317102,4.82454035409696e-26,418.954826060258
"Women","Head and neck","caseTRUE",3.40375874194707,1.25592664566844,9.22472153396742,0.0160432978944582,418.954826060258
"Women","Head and neck","age_start",0.981029738829541,0.966740527107828,0.995530156729027,0.0105160574949628,418.954826060258
"Women","Chest","(Intercept)",0.00188187238439087,0.00107687993590321,0.00328861514924842,1.34056589063732e-107,6493.08081371973
"Women","Chest","caseTRUE",3.92460892120291,3.1717400554786,4.85618459109861,2.65242157394348e-36,6493.08081371973
"Women","Chest","age_start",0.999648335807813,0.992764019861976,1.00658039099993,0.920537986591693,6493.08081371973
"Women","Abdomen","(Intercept)",0.000221172145420287,9.68404670952041e-05,0.000505130957926113,9.24578423069442e-89,3903.91250843334
"Women","Abdomen","caseTRUE",5.29937729227272,3.86815478830835,7.26015405865839,2.99040515292554e-25,3903.91250843334
"Women","Abdomen","age_start",1.0161127383197,1.00656233082125,1.02575376145178,0.00090822102474511,3903.91250843334
"Women","Pelvis","(Intercept)",0.000258362276974437,0.00010956804740083,0.000609220185509209,1.82089917347157e-79,3554.26035749975
"Women","Pelvis","caseTRUE",4.03558399517111,2.97073050478598,5.48213247746433,4.41340296894109e-19,3554.26035749975
"Women","Pelvis","age_start",1.01545608985184,1.00519810523711,1.02581875656636,0.00306840794534443,3554.26035749975
"Women","Other","(Intercept)",0.000260836610454866,8.58286196868447e-05,0.0007926928989633,5.84496314449527e-48,2180.74975080206
"Women","Other","caseTRUE",5.68024181765145,3.6108669982506,8.93556786296149,5.70980988529865e-14,2180.74975080206
"Women","Other","age_start",1.00474853763224,0.99155738947743,1.01811517375325,0.482326327461223,2180.74975080206
"Women","Unknown primary","(Intercept)",0.000102527391757549,2.71362644705268e-05,0.000387373364230842,8.63905839396442e-42,1571.01514245
"Women","Unknown primary","caseTRUE",6.21036790872961,3.53184087396981,10.9202738566268,2.27075086593269e-10,1571.01514245
"Women","Unknown primary","age_start",1.01082004709313,0.994740993681249,1.02715900329405,0.188358727594215,1571.01514245
