"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",0.000350820382751375,0.000241392020463517,0.000506548148963072,0,16893.6191043123
"Men","caseTRUE",4.74434470497519,4.18405559829612,5.39794884925794,6.0276264926447e-127,16893.6191043123
"Men","age_start",1.03330097174953,1.02871438543839,1.03796235691541,1.08941526789738e-46,16893.6191043123
"Men","diabTRUE",1.09289914784843,0.962744707475677,1.2369322396597,0.164520492435035,16893.6191043123
"Men","htTRUE",0.878332403699614,0.79580943735869,0.969623199081949,0.0100338217744914,16893.6191043123
"Men","smokTRUE",1.42892561682336,1.27851144538315,1.60028042418777,4.53798125989625e-10,16893.6191043123
"Women","(Intercept)",0.00175754610278541,0.00113001966012575,0.00270600078333405,2.2131946250867e-178,14155.2572402017
"Women","caseTRUE",4.37770667103432,3.81914871999298,5.0372868775877,3.77331845776922e-97,14155.2572402017
"Women","age_start",1.00973930042958,1.00459795048329,1.01499931741665,0.000225592741017286,14155.2572402017
"Women","diabTRUE",0.794807291428541,0.667023124019974,0.940266539572606,0.00869359344775939,14155.2572402017
"Women","htTRUE",0.893675954254959,0.798828593644925,1.00056473141146,0.0503033684959444,14155.2572402017
"Women","smokTRUE",1.51384486353955,1.35527582295658,1.6923971256246,2.50184701856885e-13,14155.2572402017
