"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",1.87138257299478e-05,9.70338893087479e-06,3.60912332738251e-05,1.65982079677964e-231,6528.17860721278
"Men","caseTRUE",9.72239199931643,7.27942199202437,12.9852213942175,1.52285272130597e-53,6528.17860721278
"Men","age_start",1.04853297672307,1.04028552642435,1.05684581333614,6.08561143042445e-32,6528.17860721278
"Men","diabTRUE",1.11906942481107,0.904186249890252,1.38502037351152,0.30108306954241,6528.17860721278
"Men","htTRUE",0.696480114177877,0.588098961297711,0.824834902572913,2.77236812994699e-05,6528.17860721278
"Men","smokTRUE",1.76998230240466,1.43836475090169,2.17805487020017,6.88579398762032e-08,6528.17860721278
"Women","(Intercept)",0.000129957788818627,6.58439971398944e-05,0.000256500631921601,1.01768019006876e-146,6134.70914832146
"Women","caseTRUE",7.50726088356242,5.70165230736105,9.88467253625847,9.0372039478926e-47,6134.70914832146
"Women","age_start",1.02377024825215,1.01571400079468,1.03189039472357,5.60670392713837e-09,6134.70914832146
"Women","diabTRUE",0.833653711474098,0.635155711016245,1.09418603753492,0.18977504689826,6134.70914832146
"Women","htTRUE",0.88320456849707,0.733579659106045,1.06334779070167,0.189719886100644,6134.70914832146
"Women","smokTRUE",1.63547911012881,1.36300166481374,1.96242747805685,1.21976014140934e-07,6134.70914832146
