"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",2.75576257876874e-05,1.42872532090956e-05,5.31538657529179e-05,2.09492634494465e-215,6566.9662907525
"Men","caseTRUE",9.76064174509572,7.3394729944355,12.9805133622449,2.69060421289048e-55,6566.9662907525
"Men","age_start",1.04667348845822,1.03840076440353,1.05501211959392,1.90544396300154e-29,6566.9662907525
"Women","(Intercept)",0.000209191442668138,0.000107557351888211,0.000406862561390129,1.58413827000816e-137,6158.92725172424
"Women","caseTRUE",7.5674962401011,5.769591959671,9.92565847710482,1.99842492484152e-48,6158.92725172424
"Women","age_start",1.01993960181276,1.01200738644764,1.02793399067724,7.18550856515839e-07,6158.92725172424
