"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",0.000447251493705234,0.000310985494570174,0.000639192899422589,0,16934.3376768929
"Men","caseTRUE",4.84373379711371,4.27861600577147,5.50258848567633,1.56999508216019e-133,16934.3376768929
"Men","age_start",1.03253714892824,1.02799889657808,1.03715282404105,1.66743484069767e-45,16934.3376768929
"Women","(Intercept)",0.00256788302823784,0.00167892675746186,0.00388771869461829,1.20471352047542e-170,14211.1199486657
"Women","caseTRUE",4.38718403952736,3.83351328941613,5.0405984168224,1.32686704918356e-99,14211.1199486657
"Women","age_start",1.00665860532706,1.00166152824685,1.01177990723427,0.009645399356542,14211.1199486657
