"gender","region_desc","term","RR","lower","upper","p","AIC"
"Men","Head and neck","(Intercept)",6.34963387607625e-05,8.08187424364225e-06,0.000403043274076811,3.01057986754424e-22,802.087823210465
"Men","Head and neck","caseTRUE",4.16914543721388,2.08298510271411,9.28113364069088,0.000149462404324769,802.087823210465
"Men","Head and neck","age_start",1.00772775771142,0.984391942891056,1.03329747877116,0.533183739902993,802.087823210465
"Men","Head and neck","diabTRUE",1.1277073630438,0.479903600061064,2.3481337926691,0.76366577557481,802.087823210465
"Men","Head and neck","htTRUE",0.598532815277606,0.321491082617311,1.09940566272222,0.0996680320723007,802.087823210465
"Men","Head and neck","smokTRUE",2.01516652109919,1.00700367936766,4.48517974496974,0.0626949210641004,802.087823210465
"Men","Chest","(Intercept)",8.53973821884437e-05,4.29828846567657e-05,0.000165972028632528,1.019588526979e-162,6206.79492189121
"Men","Chest","caseTRUE",8.00298169608221,6.11030018160259,10.6923705052309,2.89691371993633e-48,6206.79492189121
"Men","Chest","age_start",1.02398376322477,1.01611661566924,1.0320796223188,2.51378778262457e-09,6206.79492189121
"Men","Chest","diabTRUE",0.998230274932738,0.786988182181208,1.25264116980834,0.988067117377152,6206.79492189121
"Men","Chest","htTRUE",0.67789259100747,0.56739166742457,0.809821723329716,1.81998189663845e-05,6206.79492189121
"Men","Chest","smokTRUE",3.02876819168453,2.36319428474472,3.9424165140904,1.8788558044742e-17,6206.79492189121
"Men","Abdomen","(Intercept)",5.61629623877176e-05,2.4613862001258e-05,0.000124407992835003,5.91661548977702e-124,4925.42516111076
"Men","Abdomen","caseTRUE",4.88057215732664,3.73544062280524,6.48192676109994,1.40064072613174e-29,4925.42516111076
"Men","Abdomen","age_start",1.03703241038514,1.02709969940827,1.04730852049451,2.5535746408943e-13,4925.42516111076
"Men","Abdomen","diabTRUE",1.62274358131634,1.27756897431913,2.04500753117425,5.38270477127685e-05,4925.42516111076
"Men","Abdomen","htTRUE",1.15935689075297,0.937284528233877,1.43836642297488,0.175598287574978,4925.42516111076
"Men","Abdomen","smokTRUE",1.07735430273554,0.861770765105513,1.35633971378289,0.519175459603271,4925.42516111076
"Men","Pelvis","(Intercept)",4.90714855770281e-05,2.29963062475251e-05,0.000102145781244986,5.28435787946196e-150,5965.38544182189
"Men","Pelvis","caseTRUE",2.74710439370106,2.24064869469745,3.38904210058811,9.53660074162924e-22,5965.38544182189
"Men","Pelvis","age_start",1.0507303416745,1.04138345649735,1.06037853021265,7.2044481418148e-27,5965.38544182189
"Men","Pelvis","diabTRUE",0.885840810203567,0.678611166958612,1.139709755626,0.358692182927796,5965.38544182189
"Men","Pelvis","htTRUE",0.954383471820009,0.791319553530651,1.1517990331491,0.625655041642556,5965.38544182189
"Men","Pelvis","smokTRUE",1.07809620528221,0.886043325715182,1.31777019814639,0.457367779747201,5965.38544182189
"Men","Other","(Intercept)",5.69725570017173e-05,1.77076606423979e-05,0.000171949055242625,9.46525560683582e-64,2480.37256460908
"Men","Other","caseTRUE",5.69436340892762,3.77860379065427,8.94686476816888,1.92210006110901e-15,2480.37256460908
"Men","Other","age_start",1.02516610102583,1.01142210929384,1.0396190525845,0.000393871172841086,2480.37256460908
"Men","Other","diabTRUE",0.929144989770801,0.602761643897049,1.38273880999616,0.727620697707161,2480.37256460908
"Men","Other","htTRUE",0.993915989871701,0.727132592970671,1.36335660555038,0.969591009428438,2480.37256460908
"Men","Other","smokTRUE",1.29252610495767,0.920215679257416,1.849426324406,0.148538315900276,2480.37256460908
"Men","Unknown primary","(Intercept)",3.84252554342578e-06,6.30373162842325e-07,2.05937466297803e-05,1.13922812485778e-44,1452.35493703475
"Men","Unknown primary","caseTRUE",7.56883981292121,4.19253041243283,15.1053855553193,4.07826724174184e-10,1452.35493703475
"Men","Unknown primary","age_start",1.05191413338882,1.03122683005364,1.07414029089124,1.13269095524147e-06,1452.35493703475
"Men","Unknown primary","diabTRUE",0.925985116777689,0.508074932122752,1.57866605561989,0.788860510230975,1452.35493703475
"Men","Unknown primary","htTRUE",0.917875031130119,0.604082723612698,1.40221231551561,0.68904590519559,1452.35493703475
"Men","Unknown primary","smokTRUE",1.1185969135584,0.718679120969873,1.78973781495637,0.628719565191207,1452.35493703475
"Women","Head and neck","(Intercept)",0.000442880620433173,1.89865799485662e-05,0.00589497578635515,1.23632890135234e-07,418.807551705353
"Women","Head and neck","caseTRUE",2.9769066682904,1.16155658553268,9.15001890816575,0.0342034004155103,418.807551705353
"Women","Head and neck","age_start",0.972802875362889,0.940744971524666,1.01052713004634,0.129550727272915,418.807551705353
"Women","Head and neck","diabTRUE",0.258192234008735,0.0143395699696504,1.25119620097771,0.187779501057272,418.807551705353
"Women","Head and neck","htTRUE",2.78252232434883,1.04972949856516,8.81838417730376,0.054597715376536,418.807551705353
"Women","Head and neck","smokTRUE",1.02468745841624,0.43794791331289,2.4499078042484,0.955091683347024,418.807551705353
"Women","Chest","(Intercept)",0.000801827635788092,0.000400496002397754,0.00156563087670511,2.2840272080336e-93,6408.16049346402
"Women","Chest","caseTRUE",3.88993867032673,3.14814021998147,4.84908570337963,5.5547558608671e-35,6408.16049346402
"Women","Chest","age_start",1.00605680526297,0.99810505291026,1.01429964833061,0.141359257243464,6408.16049346402
"Women","Chest","diabTRUE",0.814179144445053,0.613844637139552,1.06060332079538,0.139883017928076,6408.16049346402
"Women","Chest","htTRUE",0.769694001963204,0.643124213272268,0.922469304218925,0.00442481544873465,6408.16049346402
"Women","Chest","smokTRUE",2.38140932972819,1.9700635136529,2.89258529690333,7.84200305815199e-19,6408.16049346402
"Women","Abdomen","(Intercept)",0.000212208544929756,7.59819466925578e-05,0.00056376501707514,1.81532457781172e-61,3905.44619069201
"Women","Abdomen","caseTRUE",5.19296573481028,3.81721539980993,7.22342592704535,3.38368281454579e-24,3905.44619069201
"Women","Abdomen","age_start",1.01555232033719,1.00395229299856,1.0277454992706,0.00980370239684324,3905.44619069201
"Women","Abdomen","diabTRUE",0.720814776392594,0.482105691971016,1.03863348608336,0.0933465900225313,3905.44619069201
"Women","Abdomen","htTRUE",1.16675947925748,0.910851637538331,1.50380052210723,0.227338118411616,3905.44619069201
"Women","Abdomen","smokTRUE",1.083362035286,0.856821457468143,1.37129206890433,0.504072931105811,3905.44619069201
"Women","Pelvis","(Intercept)",0.000227221670547825,7.71246610265424e-05,0.000632967098336464,5.11200243800651e-55,3558.40862199002
"Women","Pelvis","caseTRUE",3.97579995152957,2.94071112742721,5.4757863939965,2.74860105782624e-18,3558.40862199002
"Women","Pelvis","age_start",1.01603604898615,1.00376834669175,1.02896973013319,0.0119071296479499,3558.40862199002
"Women","Pelvis","diabTRUE",0.879614291368011,0.589960298987316,1.26680556439351,0.509103451035388,3558.40862199002
"Women","Pelvis","htTRUE",1.05372530986548,0.812211177059186,1.37486945093924,0.696375770952671,3558.40862199002
"Women","Pelvis","smokTRUE",1.15804825388907,0.902137665513052,1.48917694594327,0.250575130960966,3558.40862199002
"Women","Other","(Intercept)",0.000250683051695429,6.57127104493262e-05,0.000871195854177705,2.78734547503042e-36,2173.96169983589
"Women","Other","caseTRUE",6.08461055312983,3.93445079587472,9.86574556687227,9.90319523590741e-15,2173.96169983589
"Women","Other","age_start",1.00681647422832,0.992076861322059,1.02263820506589,0.380005171946021,2173.96169983589
"Women","Other","diabTRUE",0.387737812622501,0.173713704665856,0.74463148536513,0.00971051318977747,2173.96169983589
"Women","Other","htTRUE",0.764899052336125,0.547908449898737,1.07179312468555,0.116650952665049,2173.96169983589
"Women","Other","smokTRUE",1.12000703114368,0.805807392799853,1.5600538185423,0.500368372358388,2173.96169983589
"Women","Unknown primary","(Intercept)",6.13945630579248e-05,1.09399630991616e-05,0.000300307531130706,1.71236700566279e-30,1564.66632099701
"Women","Unknown primary","caseTRUE",6.49714727345017,3.8022431964174,11.9792627289441,1.18174987418689e-10,1564.66632099701
"Women","Unknown primary","age_start",1.01698864732513,0.998343096848194,1.03727680083382,0.0843147961055472,1564.66632099701
"Women","Unknown primary","diabTRUE",1.50261123907862,0.865885185439519,2.47224003860777,0.125890421622111,1564.66632099701
"Women","Unknown primary","htTRUE",0.568782323815315,0.379284773784834,0.854941474514769,0.00635071011505561,1564.66632099701
"Women","Unknown primary","smokTRUE",1.55180122567021,1.03548227512115,2.35315316257282,0.0352969041682364,1564.66632099701
