var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,.86544955,.0040066219,-31.214031,0,.85763222,.8733381,,1.959964,1
age_start,.99812675,.0001818662,-10.290655,7.7646563e-25,.99777031,.99848324,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,1.0730327,.0082895523,9.1243811,7.2147481e-20,1.0569079,1.0894036,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0845255,.0053337221,16.499002,0,1.0741217,1.0950298,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.0297995,.0046956954,6.439743,1.1967601e-10,1.020637,1.039044,,1.959964,1
