var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.3484056,.042047881,9.5859585,9.1603356e-22,1.2684611,1.4333885,,1.959964,1
age_start,1.0485137,.0013380459,37.122681,0,1.0458944,1.0511395,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,1.0540746,.043754883,1.2686808,.20455493,.97171247,1.1434177,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0127794,.032284465,.39835393,.69036931,.95143908,1.0780742,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.5612789,.054969419,12.653545,1.0693809e-36,1.4571741,1.6728213,,1.959964,1
