var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,9
1.case,.88891321,.049727503,-2.1049631,.035294533,.79660225,.99192131,,1.959964,1,9
age_start,1.0108737,.0017150887,6.3743806,1.8370364e-10,1.0075178,1.0142409,,1.959964,1,9
0b.diab,1,,,,,,,1.959964,1,9
1.diab,.64071035,.066862486,-4.2659197,.000019908022,.5221954,.78612286,,1.959964,1,9
0b.ht,1,,,,,,,1.959964,1,9
1.ht,1.118276,.064417548,1.9406208,.052304294,.99888635,1.2519354,,1.959964,1,9
0b.smok,1,,,,,,,1.959964,1,9
1.smok,.99032468,.05358075,-.17969781,.85738981,.89068472,1.1011113,,1.959964,1,9
