var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,7
1.case,1.0020117,.071830392,.028033029,.9776358,.87066954,1.1531669,,1.959964,1,7
age_start,1.0054902,.0025272004,2.1783919,.029376872,1.0005492,1.0104556,,1.959964,1,7
0b.diab,1,,,,,,,1.959964,1,7
1.diab,.82423776,.11157577,-1.427927,.15331286,.63215953,1.0746779,,1.959964,1,7
0b.ht,1,,,,,,,1.959964,1,7
1.ht,1.0936197,.082800351,1.1820161,.23719931,.94280094,1.2685648,,1.959964,1,7
0b.smok,1,,,,,,,1.959964,1,7
1.smok,1.0896984,.078798279,1.1879221,.2348641,.9457019,1.2556206,,1.959964,1,7
1b.alc_num,1,,,,,,,1.959964,1,7
2.alc_num,1.2339431,.36055905,.71941912,.47188273,.69594258,2.1878464,,1.959964,1,7
3.alc_num,.77897298,.07894592,-2.4646115,.013716183,.6386404,.95014173,,1.959964,1,7
4.alc_num,.91393048,.079385467,-1.0361397,.30013695,.77086163,1.0835524,,1.959964,1,7
