var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,8
1.case,1.1537198,.18205577,.90616155,.36485037,.84680152,1.5718788,,1.959964,1,8
age_start,1.0327185,.0063188667,5.2617083,1.4272300e-07,1.0204078,1.0451778,,1.959964,1,8
0b.diab,1,,,,,,,1.959964,1,8
1.diab,.99461955,.27081236,-.019814331,.98419148,.58330286,1.6959767,,1.959964,1,8
0b.ht,1,,,,,,,1.959964,1,8
1.ht,1.1323569,.18302214,.76905078,.44186318,.8249054,1.554399,,1.959964,1,8
0b.smok,1,,,,,,,1.959964,1,8
1.smok,1.0842584,.16931836,.51803315,.60443515,.79837835,1.4725053,,1.959964,1,8
