var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,7
1.case,1.0580615,.051420312,1.1613172,.24551293,.96193045,1.1637993,,1.959964,1,7
age_start,1.0226859,.0021545957,10.647607,1.7890589e-26,1.0184717,1.0269176,,1.959964,1,7
0b.diab,1,,,,,,,1.959964,1,7
1.diab,1.0701016,.079298824,.91430485,.36055669,.92543858,1.2373782,,1.959964,1,7
0b.ht,1,,,,,,,1.959964,1,7
1.ht,1.0980697,.056745514,1.8103383,.070243344,.99229753,1.2151164,,1.959964,1,7
0b.smok,1,,,,,,,1.959964,1,7
1.smok,1.1695601,.059835587,3.06148,.0022024566,1.0579726,1.292917,,1.959964,1,7
1b.alc_num,1,,,,,,,1.959964,1,7
2.alc_num,.88323921,.16462696,-.66612589,.50533062,.61294699,1.2727227,,1.959964,1,7
3.alc_num,.99221277,.068593554,-.11308409,.90996391,.86648214,1.1361874,,1.959964,1,7
4.alc_num,1.054382,.061028704,.914891,.36024883,.94130331,1.1810448,,1.959964,1,7
