var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.0237147,.023005122,1.0429701,.29696217,.97960401,1.0698116,,1.959964,1
age_start,1.0315651,.00086433679,37.089771,0,1.0298724,1.0332605,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,.97766095,.030638928,-.72090089,.47097051,.91941684,1.0395948,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0676703,.024892796,2.8084445,.0049781445,1.0199794,1.1175913,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.398295,.034638107,13.533753,0,1.3320273,1.4678596,,1.959964,1
