var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,9
1.case,1.0275871,.087985471,.31782722,.75061601,.86883217,1.21535,,1.959964,1,9
age_start,.98788518,.0028665198,-4.2006106,.000026619604,.98228288,.99351948,,1.959964,1,9
0b.diab,1,,,,,,,1.959964,1,9
1.diab,1.3949594,.16449238,2.8228276,.004760216,1.1071045,1.7576585,,1.959964,1,9
0b.ht,1,,,,,,,1.959964,1,9
1.ht,1.2919837,.12145838,2.7250395,.0064293779,1.0745739,1.5533805,,1.959964,1,9
0b.smok,1,,,,,,,1.959964,1,9
1.smok,.99549681,.085002899,-.052857779,.95784521,.84208894,1.1768517,,1.959964,1,9
