var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,9
1.case,.9237957,.039694909,-1.8446709,.065085426,.84918118,1.0049664,,1.959964,1,9
age_start,1.0274324,.0015547905,17.883615,0,1.0243896,1.0304843,,1.959964,1,9
0b.diab,1,,,,,,,1.959964,1,9
1.diab,.72784334,.049010139,-4.7176685,2.3856262e-06,.63785404,.83052844,,1.959964,1,9
0b.ht,1,,,,,,,1.959964,1,9
1.ht,1.0596918,.047021512,1.3066128,.19134422,.97142518,1.1559786,,1.959964,1,9
0b.smok,1,,,,,,,1.959964,1,9
1.smok,1.0671628,.047875453,1.4489532,.14735067,.97733563,1.1652459,,1.959964,1,9
