var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,7
1.case,1.1082329,.099930577,1.1396852,.25441751,.92870378,1.3224669,,1.959964,1,7
age_start,1.0062379,.0034031831,1.8386526,.065966301,.9995898,1.0129302,,1.959964,1,7
0b.diab,1,,,,,,,1.959964,1,7
1.diab,.93017262,.13366298,-.50373447,.61444801,.70185673,1.2327603,,1.959964,1,7
0b.ht,1,,,,,,,1.959964,1,7
1.ht,.96517175,.089096121,-.38401863,.70096463,.80543262,1.1565915,,1.959964,1,7
0b.smok,1,,,,,,,1.959964,1,7
1.smok,1.101405,.097489484,1.0912048,.27518281,.9259851,1.3100567,,1.959964,1,7
