var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,2
1.case,1.0002154,.063952975,.0033681667,.99731261,.88240588,1.1337535,,1.959964,1,2
age_start,1.0257488,.0022066846,11.817526,3.1687907e-32,1.021433,1.0300831,,1.959964,1,2
0b.diab,1,,,,,,,1.959964,1,2
1.diab,1.0194767,.10020411,.19625022,.84441429,.84083909,1.236066,,1.959964,1,2
0b.ht,1,,,,,,,1.959964,1,2
1.ht,.95089781,.062724553,-.76328033,.44529623,.83557534,1.0821366,,1.959964,1,2
0b.smok,1,,,,,,,1.959964,1,2
1.smok,2.1774855,.1543999,10.974459,5.0708695e-28,1.8949542,2.502141,,1.959964,1,2
