var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.1070522,.041561235,2.7089686,.0067492696,1.0285184,1.1915824,,1.959964,1
age_start,1.0407108,.0014842318,27.979815,0,1.0378059,1.0436239,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,1.0124125,.058484424,.21354811,.83089948,.90403622,1.1337811,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0673516,.040977273,1.6977804,.089549214,.98998487,1.1507645,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.3335916,.051277742,7.4868488,7.0546752e-14,1.2367828,1.4379781,,1.959964,1
