var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.0319383,.047138356,.68825126,.49129459,.943564,1.1285899,,1.959964,1
age_start,1.0181733,.0018165051,10.094917,5.8180200e-24,1.0146192,1.0217398,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,.94007218,.077054828,-.75394589,.45088172,.80055434,1.1039047,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0201217,.047425631,.42851925,.66827315,.93127829,1.1174407,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.3365301,.059725687,6.4912829,8.5108483e-11,1.2244499,1.4588697,,1.959964,1
