var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,6
1.case,1.0566533,.074221559,.78452444,.43273243,.92075127,1.2126144,,1.959964,1,6
age_start,1.0091261,.0025794585,3.5540497,.00037934739,1.004083,1.0141944,,1.959964,1,6
0b.diab,1,,,,,,,1.959964,1,6
1.diab,.90236187,.096531421,-.96039534,.33685628,.73168182,1.1128566,,1.959964,1,6
0b.ht,1,,,,,,,1.959964,1,6
1.ht,.95218283,.069884986,-.66760057,.50438857,.82460666,1.0994965,,1.959964,1,6
0b.smok,1,,,,,,,1.959964,1,6
1.smok,3.8993104,.32433352,16.360258,0,3.3127396,4.5897427,,1.959964,1,6
