var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,8
1.case,1.0838498,.12288184,.71020108,.47757944,.86788827,1.3535502,,1.959964,1,8
age_start,1.0222824,.0049448167,4.5560331,5.2128703e-06,1.0126364,1.0320201,,1.959964,1,8
0b.diab,1,,,,,,,1.959964,1,8
1.diab,.85907608,.15658998,-.83333403,.40465638,.60100347,1.2279658,,1.959964,1,8
0b.ht,1,,,,,,,1.959964,1,8
1.ht,1.1664313,.1408726,1.2747042,.20241395,.92057168,1.4779534,,1.959964,1,8
0b.smok,1,,,,,,,1.959964,1,8
1.smok,1.3395875,.15272856,2.5643148,.010337975,1.0713323,1.6750121,,1.959964,1,8
