var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.0184054,.030574346,.60749471,.54352266,.96020973,1.0801282,,1.959964,1
age_start,1.0195782,.0010326443,19.143682,0,1.0175563,1.0216042,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,.98548591,.046398856,-.31053016,.75615782,.89861566,1.080754,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.1063542,.034363531,3.2540145,.0011378647,1.041012,1.1757978,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.2489773,.037666928,7.3719563,1.6814215e-13,1.177291,1.3250287,,1.959964,1
