var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,.85373056,.0040946347,-32.972092,0,.84574282,.8617937,,1.959964,1
age_start,1.0002769,.00021442177,1.2914526,.19654678,.99985671,1.0006973,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,1.0745406,.0096159941,8.0337191,9.4561371e-16,1.0558579,1.0935539,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0855337,.0052669682,16.915176,0,1.0752596,1.095906,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.054332,.0050177593,11.116915,1.0379988e-28,1.0445431,1.0642127,,1.959964,1
