var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,.96071362,.036198728,-1.0636939,.28746742,.89232183,1.0343473,,1.959964,1
age_start,.99828368,.0013103387,-1.3087214,.19062874,.99571872,1.0008552,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,.84504455,.05978794,-2.3796892,.017327242,.73562425,.9707405,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0875225,.042047597,2.1700535,.03000279,1.0081559,1.1731373,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.2634958,.046480469,6.3577113,2.0478177e-10,1.1756026,1.3579605,,1.959964,1
