var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.0644928,.027982,2.3775716,.017427057,1.0110379,1.1207739,,1.959964,1
age_start,1.009864,.0010949116,9.0532217,1.3881064e-19,1.0077202,1.0120122,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,1.0316304,.041319989,.7774806,.43687528,.95374197,1.1158798,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0977302,.030364722,3.370929,.00074915134,1.0398009,1.1588867,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.2958446,.034223739,9.812911,9.9068693e-23,1.2304738,1.3646883,,1.959964,1
