var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,8
1.case,.97090644,.094086058,-.3046802,.76060975,.80295533,1.1739873,,1.959964,1,8
age_start,1.0226815,.0034250591,6.6967473,2.1310972e-11,1.0159905,1.0294166,,1.959964,1,8
0b.diab,1,,,,,,,1.959964,1,8
1.diab,.99643648,.14375302,-.024744999,.98025835,.75101608,1.3220565,,1.959964,1,8
0b.ht,1,,,,,,,1.959964,1,8
1.ht,1.4044085,.13871305,3.4384642,.00058502378,1.1572322,1.7043798,,1.959964,1,8
0b.smok,1,,,,,,,1.959964,1,8
1.smok,1.2305079,.11955191,2.1349766,.032762922,1.017149,1.4886212,,1.959964,1,8
