var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.0644052,.027968461,2.3753939,.017530236,1.0109757,1.1206585,,1.959964,1
age_start,1.0098746,.0010943863,9.0673141,1.2198718e-19,1.0077319,1.0120218,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,1.034647,.041399579,.85122412,.39464489,.95660543,1.1190552,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0963897,.030315612,3.3280759,.00087448047,1.0385535,1.1574466,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.2949917,.034185868,9.7923784,1.2140547e-22,1.2296926,1.3637584,,1.959964,1
