var,b,se,z,pvalue,ll,ul,df,crit,eform
0b.case,1,,,,,,,1.959964,1
1.case,1.0224437,.022972783,.98785073,.32322577,.97839487,1.0684756,,1.959964,1
age_start,1.0315464,.00086394849,37.084145,0,1.0298544,1.033241,,1.959964,1
0b.diab,1,,,,,,,1.959964,1
1.diab,.97697014,.030616662,-.74347079,.45719668,.91876835,1.0388589,,1.959964,1
0b.ht,1,,,,,,,1.959964,1
1.ht,1.0684869,.024909006,2.8415556,.0044894037,1.0207647,1.1184402,,1.959964,1
0b.smok,1,,,,,,,1.959964,1
1.smok,1.3984421,.034635969,13.540258,0,1.3321782,1.4680021,,1.959964,1
