var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,5
1.case,.84025258,.10855845,-1.3471848,.17792074,.65228415,1.0823878,,1.959964,1,5
age_start,.99587619,.0041761724,-.9854244,.32441565,.9877246,1.0040951,,1.959964,1,5
0b.diab,1,,,,,,,1.959964,1,5
1.diab,.72245765,.18247697,-1.2871128,.19805498,.44036981,1.1852427,,1.959964,1,5
0b.ht,1,,,,,,,1.959964,1,5
1.ht,1.1068705,.14254755,.78842491,.4304482,.85995448,1.424683,,1.959964,1,5
0b.smok,1,,,,,,,1.959964,1,5
1.smok,1.0665015,.12897471,.53239369,.59445333,.8414408,1.3517594,,1.959964,1,5
